YEAR,NEIGHBORHOOD_CLUSTER,OFFENSE,SHIFT,NUMBER_OF_CRIMES
2008,Cluster 1,ARSON,MIDNIGHT,3
2008,Cluster 1,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,24
2008,Cluster 1,ASSAULT W/DANGEROUS WEAPON,EVENING,11
2008,Cluster 1,ASSAULT W/DANGEROUS WEAPON,DAY,6
2008,Cluster 1,BURGLARY,EVENING,49
2008,Cluster 1,BURGLARY,DAY,36
2008,Cluster 1,BURGLARY,MIDNIGHT,14
2008,Cluster 1,HOMICIDE,MIDNIGHT,1
2008,Cluster 1,MOTOR VEHICLE THEFT,EVENING,51
2008,Cluster 1,MOTOR VEHICLE THEFT,DAY,41
2008,Cluster 1,MOTOR VEHICLE THEFT,MIDNIGHT,20
2008,Cluster 1,ROBBERY,MIDNIGHT,87
2008,Cluster 1,ROBBERY,EVENING,38
2008,Cluster 1,ROBBERY,DAY,22
2008,Cluster 1,THEFT/OTHER,DAY,262
2008,Cluster 1,THEFT/OTHER,EVENING,230
2008,Cluster 1,THEFT/OTHER,MIDNIGHT,72
2008,Cluster 10,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2008,Cluster 10,BURGLARY,EVENING,22
2008,Cluster 10,BURGLARY,DAY,10
2008,Cluster 10,BURGLARY,MIDNIGHT,8
2008,Cluster 10,HOMICIDE,MIDNIGHT,1
2008,Cluster 10,MOTOR VEHICLE THEFT,DAY,13
2008,Cluster 10,MOTOR VEHICLE THEFT,EVENING,8
2008,Cluster 10,MOTOR VEHICLE THEFT,MIDNIGHT,6
2008,Cluster 10,ROBBERY,EVENING,6
2008,Cluster 10,ROBBERY,DAY,2
2008,Cluster 10,ROBBERY,MIDNIGHT,1
2008,Cluster 10,SEX ABUSE,EVENING,1
2008,Cluster 10,THEFT/OTHER,DAY,75
2008,Cluster 10,THEFT/OTHER,EVENING,58
2008,Cluster 10,THEFT/OTHER,MIDNIGHT,10
2008,Cluster 11,ASSAULT W/DANGEROUS WEAPON,EVENING,6
2008,Cluster 11,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,4
2008,Cluster 11,ASSAULT W/DANGEROUS WEAPON,DAY,1
2008,Cluster 11,BURGLARY,EVENING,38
2008,Cluster 11,BURGLARY,DAY,18
2008,Cluster 11,BURGLARY,MIDNIGHT,6
2008,Cluster 11,HOMICIDE,MIDNIGHT,2
2008,Cluster 11,MOTOR VEHICLE THEFT,DAY,10
2008,Cluster 11,MOTOR VEHICLE THEFT,EVENING,8
2008,Cluster 11,MOTOR VEHICLE THEFT,MIDNIGHT,2
2008,Cluster 11,ROBBERY,MIDNIGHT,11
2008,Cluster 11,ROBBERY,DAY,10
2008,Cluster 11,ROBBERY,EVENING,8
2008,Cluster 11,THEFT/OTHER,EVENING,258
2008,Cluster 11,THEFT/OTHER,DAY,175
2008,Cluster 11,THEFT/OTHER,MIDNIGHT,36
2008,Cluster 12,ASSAULT W/DANGEROUS WEAPON,DAY,2
2008,Cluster 12,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,1
2008,Cluster 12,BURGLARY,DAY,14
2008,Cluster 12,BURGLARY,EVENING,13
2008,Cluster 12,BURGLARY,MIDNIGHT,4
2008,Cluster 12,MOTOR VEHICLE THEFT,DAY,8
2008,Cluster 12,MOTOR VEHICLE THEFT,EVENING,7
2008,Cluster 12,MOTOR VEHICLE THEFT,MIDNIGHT,1
2008,Cluster 12,ROBBERY,EVENING,3
2008,Cluster 12,ROBBERY,DAY,1
2008,Cluster 12,SEX ABUSE,EVENING,1
2008,Cluster 12,THEFT/OTHER,EVENING,80
2008,Cluster 12,THEFT/OTHER,DAY,79
2008,Cluster 12,THEFT/OTHER,MIDNIGHT,9
2008,Cluster 13,ASSAULT W/DANGEROUS WEAPON,EVENING,1
2008,Cluster 13,BURGLARY,DAY,14
2008,Cluster 13,BURGLARY,EVENING,10
2008,Cluster 13,BURGLARY,MIDNIGHT,2
2008,Cluster 13,MOTOR VEHICLE THEFT,DAY,11
2008,Cluster 13,MOTOR VEHICLE THEFT,EVENING,8
2008,Cluster 13,MOTOR VEHICLE THEFT,MIDNIGHT,7
2008,Cluster 13,ROBBERY,DAY,2
2008,Cluster 13,ROBBERY,EVENING,2
2008,Cluster 13,SEX ABUSE,DAY,1
2008,Cluster 13,THEFT/OTHER,DAY,90
2008,Cluster 13,THEFT/OTHER,EVENING,78
2008,Cluster 13,THEFT/OTHER,MIDNIGHT,17
2008,Cluster 14,ASSAULT W/DANGEROUS WEAPON,EVENING,5
2008,Cluster 14,ASSAULT W/DANGEROUS WEAPON,DAY,1
2008,Cluster 14,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,1
2008,Cluster 14,BURGLARY,DAY,18
2008,Cluster 14,BURGLARY,EVENING,16
2008,Cluster 14,BURGLARY,MIDNIGHT,4
2008,Cluster 14,MOTOR VEHICLE THEFT,EVENING,11
2008,Cluster 14,MOTOR VEHICLE THEFT,DAY,6
2008,Cluster 14,MOTOR VEHICLE THEFT,MIDNIGHT,2
2008,Cluster 14,ROBBERY,EVENING,4
2008,Cluster 14,ROBBERY,DAY,3
2008,Cluster 14,ROBBERY,MIDNIGHT,3
2008,Cluster 14,SEX ABUSE,DAY,2
2008,Cluster 14,THEFT/OTHER,DAY,113
2008,Cluster 14,THEFT/OTHER,EVENING,89
2008,Cluster 14,THEFT/OTHER,MIDNIGHT,17
2008,Cluster 15,ASSAULT W/DANGEROUS WEAPON,DAY,6
2008,Cluster 15,ASSAULT W/DANGEROUS WEAPON,EVENING,4
2008,Cluster 15,ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,2
2008,Cluster 15,BURGLARY,EVENING,25
2008,Cluster 15,BURGLARY,DAY,20
2008,Cluster 15,BURGLARY,MIDNIGHT,10
2008,Cluster 15,MOTOR VEHICLE THEFT,DAY,12
2008,Cluster 15,MOTOR VEHICLE THEFT,EVENING,10
2008,Cluster 15,MOTOR VEHICLE THEFT,MIDNIGHT,8
2008,Cluster 15,ROBBERY,EVENING,11
2008,Cluster 15,ROBBERY,MIDNIGHT,6
2008,Cluster 15,ROBBERY,DAY,2
2008,Cluster 15,SEX ABUSE,MIDNIGHT,2
2008,Cluster 15,THEFT/OTHER,DAY,135
2008,Cluster 15,THEFT/OTHER,EVENING,126
2008,Cluster 15,THEFT/OTHER,MIDNIGHT,24
2008,Cluster 16,ARSON,DAY,1
