,Year,Neighborhood Cluster,Offense,Neighborhoods,Median Price,Number of Crimes
0,2008,Cluster 01,Arson,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,3
1,2008,Cluster 01,Assault w/Dangerous Weapon,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,41
2,2008,Cluster 01,Burglary,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,99
3,2008,Cluster 01,Homicide,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,1
4,2008,Cluster 01,Motor Vehicle Theft,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,112
5,2008,Cluster 01,Robbery,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,147
6,2008,Cluster 01,Theft/Other,"Kalorama Heights, Adams Morgan, Lanier Heights",1391251,564
7,2008,Cluster 02,Arson,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,5
8,2008,Cluster 02,Assault w/Dangerous Weapon,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,222
9,2008,Cluster 02,Burglary,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,274
10,2008,Cluster 02,Homicide,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,12
11,2008,Cluster 02,Motor Vehicle Theft,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,326
12,2008,Cluster 02,Robbery,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,474
13,2008,Cluster 02,Sex Abuse,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,11
14,2008,Cluster 02,Theft/Other,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",530000,1355
15,2008,Cluster 03,Assault w/Dangerous Weapon,"Howard University, Le Droit Park, Cardozo/Shaw",637800,72
16,2008,Cluster 03,Burglary,"Howard University, Le Droit Park, Cardozo/Shaw",637800,79
17,2008,Cluster 03,Homicide,"Howard University, Le Droit Park, Cardozo/Shaw",637800,6
18,2008,Cluster 03,Motor Vehicle Theft,"Howard University, Le Droit Park, Cardozo/Shaw",637800,184
19,2008,Cluster 03,Robbery,"Howard University, Le Droit Park, Cardozo/Shaw",637800,184
20,2008,Cluster 03,Sex Abuse,"Howard University, Le Droit Park, Cardozo/Shaw",637800,6
21,2008,Cluster 03,Theft/Other,"Howard University, Le Droit Park, Cardozo/Shaw",637800,893
22,2008,Cluster 04,Arson,"Georgetown, Burleith/Hillandale",1237500,1
23,2008,Cluster 04,Assault w/Dangerous Weapon,"Georgetown, Burleith/Hillandale",1237500,25
24,2008,Cluster 04,Burglary,"Georgetown, Burleith/Hillandale",1237500,80
25,2008,Cluster 04,Motor Vehicle Theft,"Georgetown, Burleith/Hillandale",1237500,59
26,2008,Cluster 04,Robbery,"Georgetown, Burleith/Hillandale",1237500,40
27,2008,Cluster 04,Sex Abuse,"Georgetown, Burleith/Hillandale",1237500,6
28,2008,Cluster 04,Theft/Other,"Georgetown, Burleith/Hillandale",1237500,722
29,2008,Cluster 05,Assault w/Dangerous Weapon,"West End, Foggy Bottom, GWU",932000,17
30,2008,Cluster 05,Burglary,"West End, Foggy Bottom, GWU",932000,40
31,2008,Cluster 05,Homicide,"West End, Foggy Bottom, GWU",932000,1
32,2008,Cluster 05,Motor Vehicle Theft,"West End, Foggy Bottom, GWU",932000,29
33,2008,Cluster 05,Robbery,"West End, Foggy Bottom, GWU",932000,30
34,2008,Cluster 05,Sex Abuse,"West End, Foggy Bottom, GWU",932000,5
35,2008,Cluster 05,Theft/Other,"West End, Foggy Bottom, GWU",932000,406
36,2008,Cluster 06,Arson,"Dupont Circle, Connecticut Avenue/K Street",890000,2
37,2008,Cluster 06,Assault w/Dangerous Weapon,"Dupont Circle, Connecticut Avenue/K Street",890000,71
38,2008,Cluster 06,Burglary,"Dupont Circle, Connecticut Avenue/K Street",890000,200
39,2008,Cluster 06,Homicide,"Dupont Circle, Connecticut Avenue/K Street",890000,1
40,2008,Cluster 06,Motor Vehicle Theft,"Dupont Circle, Connecticut Avenue/K Street",890000,164
41,2008,Cluster 06,Robbery,"Dupont Circle, Connecticut Avenue/K Street",890000,174
42,2008,Cluster 06,Sex Abuse,"Dupont Circle, Connecticut Avenue/K Street",890000,3
43,2008,Cluster 06,Theft/Other,"Dupont Circle, Connecticut Avenue/K Street",890000,1523
44,2008,Cluster 07,Arson,"Shaw, Logan Circle",515000,2
45,2008,Cluster 07,Assault w/Dangerous Weapon,"Shaw, Logan Circle",515000,58
46,2008,Cluster 07,Burglary,"Shaw, Logan Circle",515000,103
47,2008,Cluster 07,Homicide,"Shaw, Logan Circle",515000,4
48,2008,Cluster 07,Motor Vehicle Theft,"Shaw, Logan Circle",515000,143
49,2008,Cluster 07,Robbery,"Shaw, Logan Circle",515000,121
50,2008,Cluster 07,Sex Abuse,"Shaw, Logan Circle",515000,4
51,2008,Cluster 07,Theft/Other,"Shaw, Logan Circle",515000,684
